Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week?,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?,,,,,
2024/03/07 6:15:14 pm EET,Male,76,2nd Year,Business,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 6:15:31 pm EET,Male,83,2nd Year,Engineering,60,Non-private accommodation ie. Res,R 4001- R 5000,No,2,3,05-Aug,4+,1,No,Yes,Very close,,,,,2
2024/03/07 6:15:48 pm EET,Female,76,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,05-Aug,2,2,No,Yes,Very close,,,,,2
2024/03/07 6:16:12 pm EET,Male,82,1st Year,Business,65,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,0,0,0,0,No,No,Close,,,,,2
2024/03/07 6:16:51 pm EET,Female,76,1st Year,Arts,54,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,4+,05-Aug,4+,3,Yes,Yes,Very close,,,,,2
2024/03/07 6:19:15 pm EET,Male,78,1st Year,Science,65,Non-private accommodation ie. Res,R 5001 - R 6000,No,2,Only weekends,0,0,2,No,Yes,Very close,,,,,2
2024/03/07 6:23:51 pm EET,Male,79,2nd Year,Business,64,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,03-May,3,3,Yes,Yes,Very close,,,,,2
2024/03/07 6:23:58 pm EET,Female,72,1st Year,Business,61,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,0,0,1,No,Yes,Very close,,,,,2
2024/03/07 6:25:59 pm EET,Male,65,1st Year,Science,0,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",2,2,8+,1,0,No,Yes,Very close,,,,,2
2024/03/07 6:26:53 pm EET,Male,70,Postgraduate,Biology,68,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,03-May,2,0,No,Yes,Very close,,,,,2
2024/03/07 6:27:21 pm EET,Male,72,2nd Year,Business,53,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,8+,0,4+,Yes,Yes,Close,,,,,2
2024/03/07 6:28:20 pm EET,Female,74,1st Year,Business,73,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",2,1,03-May,0,0,Yes,No,Close,,,,,2
2024/03/07 6:28:39 pm EET,Female,76,1st Year,Business,50,Non-private accommodation ie. Res,R 7001 - R 8000,No,2,Only weekends,05-Aug,0,4+,Yes,Yes,Very close,,,,,2
2024/03/07 6:33:23 pm EET,Female,81,1st Year,Biology,64,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,1,0,No,No,Close,,,,,2
2024/03/07 6:34:12 pm EET,Female,85,2nd Year,Business,73,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,01-Mar,4+,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:34:17 pm EET,Female,85,2nd Year,Business,73,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,01-Mar,4+,0,Yes,Yes,Very close,,,,,2
2024/03/07 6:37:49 pm EET,Female,80,2nd Year,Business,50,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,01-Mar,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 6:39:00 pm EET,Female,84,2nd Year,Business,68,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 6:42:55 pm EET,Male,69,4th Year,Biology,65,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,2,8+,2,2,No,Yes,Very close,,,,,2
2024/03/07 6:43:25 pm EET,Male,76,4th Year,Business,71,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,0,0,No,Yes,Very close,,,,,2
2024/03/07 6:44:27 pm EET,Female,78,2nd Year,Arts,65,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,03-May,2,1,No,Yes,Close,,,,,2
2024/03/07 6:46:11 pm EET,Male,72,3rd Year,Biology,60,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,Only weekends,05-Aug,2,4+,No,Yes,Close,,,,,2
2024/03/07 6:56:36 pm EET,Female,88,2nd Year,Business,72,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,01-Mar,1,0,Yes,Yes,Fair,,,,,2
2024/03/07 6:56:38 pm EET,Female,92,3rd Year,Science,70,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,4+,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 6:59:23 pm EET,Female,85,3rd Year,Arts,0,,,No,2,1,03-May,0,0,No,No,Close,,,,,2
2024/03/07 7:02:56 pm EET,Male,74,3rd Year,Business,77,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,1,8+,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 7:03:36 pm EET,Male,78,2nd Year,Biology,60,Non-private accommodation ie. Res,R 4001- R 5000,No,2,3,8+,4+,0,No,Yes,Close,,,,,2
2024/03/07 7:07:32 pm EET,Female,90,1st Year,Business,75,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,01-Mar,0,1,No,Yes,Close,,,,,2
2024/03/07 7:09:17 pm EET,Male,84,2nd Year,Business,68,Non-private accommodation ie. Res,R 4001- R 5000,No,2,4+,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 7:12:26 pm EET,Female,91.86,2nd Year,Business,65.89,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,0,0,0,1,No,No,Very close,,,,,2
2024/03/07 7:14:33 pm EET,Male,80,4th Year,Business,63,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,05-Aug,0,2,Yes,Yes,Very close,,,,,2
2024/03/07 7:15:06 pm EET,Male,71,2nd Year,Business,55,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,Only weekends,8+,2,2,Yes,Yes,Very close,,,,,2
2024/03/07 7:18:00 pm EET,Female,80,2nd Year,Business,73,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,01-Mar,1,0,Yes,No,Very close,,,,,2
2024/03/07 7:18:59 pm EET,Female,75,2nd Year,Arts,80,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,Only weekends,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 7:19:12 pm EET,Female,69,,Business,0,,,No,2,1,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 7:21:59 pm EET,Male,82,2nd Year,Business,69,Non-private accommodation ie. Res,R 4001- R 5000,No,2,4+,8+,0,0,No,No,Very close,,,,,2
2024/03/07 7:23:00 pm EET,Female,80,2nd Year,Arts,70,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,03-May,4+,0,Yes,Yes,Very close,,,,,2
2024/03/07 7:33:31 pm EET,Female,74,,Science,0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,2,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 7:35:56 pm EET,Male,73,2nd Year,Business,73.5,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,03-May,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 7:41:48 pm EET,Male,74,,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 7:45:38 pm EET,Female,84,2nd Year,Science,70,Private accommodation/ stay with family/friends,,No,2,1,05-Aug,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 7:53:26 pm EET,Male,63,1st Year,Business,68,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,8+,1,0,No,Yes,Close,,,,,2
2024/03/07 7:53:39 pm EET,Female,73,,Business,0,,R 4001- R 5000,No,2,1,05-Aug,0,0,No,Yes,Very close,,,,,2
2024/03/07 7:54:01 pm EET,Male,78,,Business,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,3,0,No,Yes,Very close,,,,,2
2024/03/07 7:54:43 pm EET,Female,74,3rd Year,Biology,63,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,Only weekends,0,0,0,No,No,Close,,,,,2
2024/03/07 7:54:47 pm EET,Female,79,1st Year,Education,77,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",2,3,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 7:54:54 pm EET,Female,81,2nd Year,Science,70,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,1,No,No,Very close,,,,,2
2024/03/07 7:55:07 pm EET,Female,82,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,2,01-Mar,0,4+,No,Yes,Very close,,,,,2
2024/03/07 7:55:47 pm EET,Female,75,3rd Year,Business,50,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,Only weekends,03-May,0,4+,Yes,Yes,Very close,,,,,2
2024/03/07 8:02:29 pm EET,Female,,1st Year,Science,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,0,1,1,No,Yes,Very close,,,,,2
2024/03/07 8:06:35 pm EET,Female,72,1st Year,Arts,73,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 8:07:03 pm EET,Male,79,,Engineering,0,,R 6001 - R 7000,,2,0,0,0,0,No,Yes,Close,,,,,2
2024/03/07 8:07:03 pm EET,Female,70,2nd Year,Arts,65,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,3,0,0,1,Yes,Yes,Fair,,,,,2
2024/03/07 8:07:15 pm EET,Female,86,2nd Year,Science,75,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,03-May,0,0,No,Yes,Fair,,,,,2
2024/03/07 8:10:53 pm EET,Male,76,1st Year,Biology,62,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,3,0,No,Yes,Very close,,,,,2
2024/03/07 8:11:46 pm EET,Male,80,1st Year,Business,63,Non-private accommodation ie. Res,R 4001- R 5000,No,2,3,05-Aug,3,0,No,Yes,Fair,,,,,2
2024/03/07 8:13:02 pm EET,Male,76,3rd Year,Science,62,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,1,3,Yes,No,Fair,,,,,2
2024/03/07 8:14:46 pm EET,Male,75,1st Year,Science,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,8+,3,2,No,Yes,Very close,,,,,2
2024/03/07 8:16:42 pm EET,Female,83,3rd Year,Business,55,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,01-Mar,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 8:17:11 pm EET,Female,70,1st Year,Business,65,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 8:21:30 pm EET,Female,70,1st Year,Science,57,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",2,Only weekends,01-Mar,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 8:23:39 pm EET,Female,81,2nd Year,Arts,72,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,2,03-May,0,0,No,Yes,Very close,,,,,2
2024/03/07 8:25:15 pm EET,Male,86,,Engineering,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,0,05-Aug,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 8:25:17 pm EET,Male,75,2nd Year,Science,50,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,Only weekends,03-May,0,4+,Yes,Yes,Close,,,,,2
2024/03/07 8:25:25 pm EET,Male,83,2nd Year,Business,51,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,03-May,0,4+,Yes,Yes,Very close,,,,,2
2024/03/07 8:31:09 pm EET,Female,77,1st Year,Biology,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 8:35:19 pm EET,Male,92,4th Year,Business,88,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 8:41:19 pm EET,Male,72,1st Year,Business,54,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,8+,4+,3,No,Yes,Very close,,,,,2
2024/03/07 8:44:24 pm EET,Female,83,1st Year,Science,68,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 8:52:04 pm EET,Male,79,2nd Year,Business,59,Non-private accommodation ie. Res,R 4001- R 5000,No,2,1,05-Aug,0,3,No,Yes,Very close,,,,,2
2024/03/07 8:54:01 pm EET,Male,83,1st Year,Business,0,Non-private accommodation ie. Res,R 6001 - R 7000,No,2,2,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 8:55:37 pm EET,Male,67,1st Year,Business,65,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,2,0,No,Yes,Close,,,,,2
2024/03/07 8:55:40 pm EET,Male,67,1st Year,Business,77,Non-private accommodation ie. Res,R 5001 - R 6000,No,2,2,8+,0,0,No,Yes,Very close,,,,,2
2024/03/07 8:55:47 pm EET,Female,71,1st Year,Business,62,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,01-Mar,0,1,No,Yes,Very close,,,,,2
2024/03/07 8:56:01 pm EET,Female,60,1st Year,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,0,0,1,No,No,Close,,,,,2
2024/03/07 8:57:08 pm EET,Male,78,1st Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,0,0,0,1,No,No,Very close,,,,,2
2024/03/07 8:57:17 pm EET,Female,83,1st Year,Business,84,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,0,0,0,Yes,Yes,Fair,,,,,2
2024/03/07 8:57:29 pm EET,Female,76,1st Year,Business,70,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,03-May,0,1,No,Yes,Very close,,,,,2
2024/03/07 8:57:39 pm EET,Female,75,1st Year,Business,60,Private accommodation/ stay with family/friends,R 8000+,No,2,3,8+,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 8:58:08 pm EET,Male,80,3rd Year,Business,63,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,3,0,Yes,Yes,Very close,,,,,2
2024/03/07 9:01:08 pm EET,Female,78,1st Year,Business,80,Non-private accommodation ie. Res,R 6001 - R 7000,No,2,2,05-Aug,1,0,Yes,Yes,Close,,,,,2
2024/03/07 9:03:43 pm EET,Female,67,1st Year,Business,78,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,05-Aug,1,1,Yes,Yes,Very close,,,,,2
2024/03/07 9:05:14 pm EET,Female,70,2nd Year,Business,76,Non-private accommodation ie. Res,R 4001- R 5000,No,2,2,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 9:05:47 pm EET,Female,67,2nd Year,Arts,63,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,2,No,No,Close,,,,,2
2024/03/07 9:07:53 pm EET,Male,85,3rd Year,Science,65,Non-private accommodation ie. Res,R 5001 - R 6000,No,2,0,05-Aug,0,2,No,Yes,Close,,,,,2
2024/03/07 9:09:03 pm EET,Female,73,2nd Year,Business,58,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,Only weekends,01-Mar,0,2,No,No,Fair,,,,,2
2024/03/07 9:11:04 pm EET,Male,84,2nd Year,Business,67,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,8+,1,0,No,Yes,Very close,,,,,2
2024/03/07 9:11:21 pm EET,Male,76,1st Year,Business,59,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 9:12:49 pm EET,Female,65,2nd Year,Arts,65,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,2,No,No,Close,,,,,2
2024/03/07 9:14:18 pm EET,Male,87,3rd Year,Business,74,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",2,2,8+,3,0,No,Yes,Very close,,,,,2
2024/03/07 9:14:19 pm EET,Male,72,2nd Year,Business,60,Private accommodation/ stay with family/friends,,"Yes (NSFAS, etc...)",2,Only weekends,05-Aug,0,0,No,Yes,Close,,,,,2
2024/03/07 9:14:34 pm EET,Female,78,2nd Year,Business,64,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,4+,4+,Yes,Yes,Very close,,,,,2
2024/03/07 9:16:56 pm EET,Male,80,2nd Year,Engineering,65,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",2,1,01-Mar,1,4+,Yes,No,Fair,,,,,2
2024/03/07 9:18:49 pm EET,Female,67,1st Year,Business,80,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,3,05-Aug,2,0,No,Yes,Close,,,,,2
2024/03/07 9:24:34 pm EET,Male,72,1st Year,Arts,64,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,8+,0,0,No,Yes,Very close,,,,,2
2024/03/07 9:25:57 pm EET,Female,75,2nd Year,Business,75,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,0,01-Mar,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 9:27:52 pm EET,Female,82,2nd Year,Business,72,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,01-Mar,0,0,No,Yes,Close,,,,,2
2024/03/07 9:27:53 pm EET,Female,94,,Engineering,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 9:32:42 pm EET,Female,81,2nd Year,Arts,0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,03-May,1,0,No,Yes,Very close,,,,,2
2024/03/07 9:40:47 pm EET,Male,82,3rd Year,Business,63,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,03-May,0,0,Yes,Yes,Close,,,,,2
2024/03/07 9:44:28 pm EET,Female,80,3rd Year,Education,74,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,2,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 9:55:22 pm EET,Female,65,3rd Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,0,1,No,No,Very close,,,,,2
2024/03/07 9:56:16 pm EET,Male,85,2nd Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,2,2,No,Yes,Very close,,,,,2
2024/03/07 9:59:38 pm EET,Male,69,2nd Year,Business,55,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,03-May,0,1,Yes,Yes,Very close,,,,,2
2024/03/07 10:07:26 pm EET,Female,68,1st Year,Business,55,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,0,0,0,1,No,No,Very close,,,,,2
2024/03/07 10:07:30 pm EET,Male,72,1st Year,Business,58,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,8+,2,0,No,Yes,Very close,,,,,2
2024/03/07 10:08:29 pm EET,Male,84,1st Year,Science,92,Non-private accommodation ie. Res,R 5001 - R 6000,No,2,Only weekends,8+,0,0,Yes,Yes,Very close,,,,,2
2024/03/07 10:17:06 pm EET,Male,70,3rd Year,Business,53,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,8+,4+,4+,Yes,Yes,Very close,,,,,2
2024/03/07 10:19:09 pm EET,Male,82,3rd Year,Business,77,Non-private accommodation ie. Res,R 5001 - R 6000,"Yes (NSFAS, etc...)",2,0,0,0,0,No,Yes,Close,,,,,2
2024/03/07 10:20:49 pm EET,Male,84,4th Year,Business,63,Non-private accommodation ie. Res,,"Yes (NSFAS, etc...)",2,Only weekends,05-Aug,0,4+,Yes,Yes,Close,,,,,2
2024/03/07 10:25:16 pm EET,Female,70,1st Year,Business,70,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,01-Mar,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 10:25:45 pm EET,Female,78,2nd Year,Business,57,Private accommodation/ stay with family/friends,R 8000+,No,2,3,05-Aug,0,4+,No,Yes,Very close,,,,,2
2024/03/07 10:28:49 pm EET,Female,95,2nd Year,Engineering,87.6,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 10:31:42 pm EET,Female,75,1st Year,Business,60,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,Only weekends,01-Mar,0,0,Yes,No,Close,,,,,2
2024/03/07 10:31:47 pm EET,Female,80,4th Year,Business,55,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,01-Mar,1,4+,No,Yes,Very close,,,,,2
2024/03/07 10:46:19 pm EET,Female,73,2nd Year,Science,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,0,0,0,4+,No,Yes,Very close,,,,,2
2024/03/07 10:53:04 pm EET,Male,86,1st Year,Science,73,Non-private accommodation ie. Res,R 7001 - R 8000,No,2,2,03-May,4+,0,No,Yes,Very close,,,,,2
2024/03/07 10:53:04 pm EET,Male,84,1st Year,Science,76,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,2,1,03-May,2,0,No,Yes,Very close,,,,,2
2024/03/07 10:53:09 pm EET,Female,82,2nd Year,Arts,68,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,8+,1,3,No,Yes,Very close,,,,,2
2024/03/07 11:13:49 pm EET,Male,73,2nd Year,Business,57,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,1,01-Mar,1,3,No,No,Close,,,,,2
2024/03/07 11:18:02 pm EET,Female,75,1st Year,Biology,63,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,01-Mar,2,0,Yes,Yes,Close,,,,,2
2024/03/07 11:19:26 pm EET,Male,74,1st Year,Business,64,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,1,8+,1,0,No,Yes,Very close,,,,,2
2024/03/07 11:19:53 pm EET,Male,83,,Business,0,Private accommodation/ stay with family/friends,R 8000+,No,2,Only weekends,01-Mar,0,0,No,Yes,Very close,,,,,2
2024/03/07 11:19:54 pm EET,Male,34,,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,05-Aug,1,0,No,Yes,Very close,,,,,2
2024/03/07 11:20:06 pm EET,Male,68,1st Year,Business,55,Non-private accommodation ie. Res,R 4001- R 5000,No,2,3,8+,4+,1,No,No,Very close,,,,,2
2024/03/07 11:20:18 pm EET,Male,78,1st Year,Science,76,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,03-May,4+,0,No,No,Very close,,,,,2
2024/03/07 11:20:21 pm EET,Male,74,,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,2,05-Aug,3,0,No,Yes,Very close,,,,,2
2024/03/07 11:20:23 pm EET,Male,79,,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,3,8+,0,0,No,Yes,Very close,,,,,2
2024/03/07 11:20:59 pm EET,Male,77,1st Year,Business,65,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,1,8+,2,0,No,Yes,Close,,,,,2
2024/03/07 11:21:23 pm EET,Female,79,1st Year,Business,71,Private accommodation/ stay with family/friends,R 8000+,No,2,2,05-Aug,0,0,Yes,No,Fair,,,,,2
2024/03/07 11:22:41 pm EET,Male,71,,Business,0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",2,2,8+,1,0,Yes,Yes,Very close,,,,,2
2024/03/07 11:23:21 pm EET,Male,78,1st Year,Business,73,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,8+,2,2,No,Yes,Fair,,,,,2
2024/03/07 11:25:48 pm EET,Male,86.4,1st Year,Engineering,57,Non-private accommodation ie. Res,R 4001- R 5000,No,2,2,8+,2,0,Yes,Yes,Very close,,,,,2
2024/03/07 11:27:13 pm EET,Male,73,,Science,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,Only weekends,8+,0,0,No,Yes,Very close,,,,,2
2024/03/07 11:30:11 pm EET,Male,83,,Engineering,0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,2,1,05-Aug,1,0,No,Yes,Very close,,,,,2
